genome_name	ncbi_acc
CANOPY_0340	GCA_000437815.1
CANOPY_0341	GCA_000437835.1
CANOPY_0342	GCA_000437855.1
CANOPY_0343	GCA_000437875.1
CANOPY_0344	GCA_000437895.1
CANOPY_0345	GCA_000437915.1
CANOPY_0346	GCA_000437935.1
CANOPY_0347	GCA_000437955.1
CANOPY_0348	GCA_000437975.1
CANOPY_0349	GCA_000437995.1
CANOPY_0350	GCA_000438015.1
CANOPY_0351	GCA_000438035.1
CANOPY_0352	GCA_000438055.1
CANOPY_0353	GCA_000438075.1
CANOPY_0354	GCA_000438095.1
CANOPY_0355	GCA_000438115.1
CANOPY_0356	GCA_000438135.1
CANOPY_0357	GCA_000438155.1
CANOPY_0358	GCA_000438175.1
CANOPY_0359	GCA_000438195.1
CANOPY_0360	GCA_000438215.1
CANOPY_0361	GCA_000438235.1
CANOPY_0362	GCA_000438255.1
CANOPY_0363	GCA_000438275.1
CANOPY_0364	GCA_000438295.1
CANOPY_0365	GCA_000438315.1
CANOPY_0366	GCA_000438335.1
CANOPY_0367	GCA_000438355.1
CANOPY_0368	GCA_000438375.1
CANOPY_0369	GCA_000438395.1
CANOPY_0370	GCA_000438415.1
CANOPY_0371	GCA_000438435.1
CANOPY_0372	GCA_000442765.1
