genome_name	ncbi_acc
PRJNA362212_0215	GCA_003644575.1
PRJNA362212_0216	GCA_003644625.1
PRJNA362212_0217	GCA_003660965.1
PRJNA362212_0218	GCA_003660975.1
PRJNA362212_0219	GCA_003660905.1
PRJNA362212_0220	GCA_003660865.1
PRJNA362212_0221	GCA_003647625.1
PRJNA362212_0222	GCA_003647665.1
PRJNA362212_0223	GCA_003645805.1
PRJNA362212_0224	GCA_003645785.1
PRJNA362212_0225	GCA_003645745.1
PRJNA362212_0226	GCA_003644385.1
PRJNA362212_0227	GCA_003644345.1
PRJNA362212_0228	GCA_003644515.1
PRJNA362212_0229	GCA_003644525.1
PRJNA362212_0230	GCA_003644505.1
PRJNA362212_0231	GCA_003644465.1
PRJNA362212_0232	GCA_003644455.1
PRJNA362212_0233	GCA_003644405.1
PRJNA362212_0234	GCA_003644445.1
PRJNA362212_0235	GCA_003644395.1
PRJNA362212_0236	GCA_002049895.1
PRJNA362212_0237	GCA_002085025.1
PRJNA362212_0238	GCA_002085265.1
PRJNA362212_0239	GCA_002085315.1
PRJNA362212_0240	GCA_002085345.1
PRJNA362212_0241	GCA_003660845.1
PRJNA362212_0242	GCA_003660825.1
PRJNA362212_0243	GCA_002254495.1
PRJNA362212_0244	GCA_002254805.1
PRJNA362212_0245	GCA_002254395.1
PRJNA362212_0246	GCA_002085145.1
PRJNA362212_0247	GCA_003645735.1
PRJNA362212_0248	GCA_003647605.1
PRJNA362212_0249	GCA_003662835.1
PRJNA362212_0250	GCA_003662805.1
PRJNA362212_0251	GCA_003662815.1
PRJNA362212_0252	GCA_003662775.1
PRJNA362212_0253	GCA_003662765.1
PRJNA362212_0254	GCA_003650625.1
PRJNA362212_0255	GCA_003649185.1
PRJNA362212_0256	GCA_003649155.1
PRJNA362212_0257	GCA_003649085.1
PRJNA362212_0258	GCA_003649145.1
PRJNA362212_0259	GCA_003649095.1
PRJNA362212_0260	GCA_003649105.1
PRJNA362212_0261	GCA_003649055.1
PRJNA362212_0262	GCA_003649035.1
PRJNA362212_0263	GCA_003649025.1
PRJNA362212_0264	GCA_003648985.1
PRJNA362212_0265	GCA_003650585.1
PRJNA362212_0266	GCA_003650545.1
PRJNA362212_0267	GCA_003650575.1
PRJNA362212_0268	GCA_002254705.1
PRJNA362212_0269	GCA_003647575.1
PRJNA362212_0270	GCA_003648225.1
PRJNA362212_0271	GCA_003648185.1
PRJNA362212_0272	GCA_003648145.1
PRJNA362212_0273	GCA_003648195.1
PRJNA362212_0274	GCA_003648125.1
PRJNA362212_0275	GCA_003648075.1
PRJNA362212_0276	GCA_003648135.1
PRJNA362212_0277	GCA_003648085.1
PRJNA362212_0278	GCA_003648065.1
PRJNA362212_0279	GCA_003648025.1
PRJNA362212_0280	GCA_003648015.1
PRJNA362212_0281	GCA_003648005.1
PRJNA362212_0282	GCA_003647955.1
PRJNA362212_0283	GCA_003647975.1
PRJNA362212_0284	GCA_003647945.1
PRJNA362212_0285	GCA_003647875.1
PRJNA362212_0286	GCA_003647885.1
PRJNA362212_0287	GCA_003647925.1
PRJNA362212_0288	GCA_003650225.1
PRJNA362212_0289	GCA_003650175.1
PRJNA362212_0290	GCA_003650185.1
PRJNA362212_0291	GCA_003647535.1
PRJNA362212_0292	GCA_003647425.1
PRJNA362212_0293	GCA_003647525.1
PRJNA362212_0294	GCA_003647505.1
PRJNA362212_0295	GCA_003647485.1
PRJNA362212_0296	GCA_003647445.1
PRJNA362212_0297	GCA_003647435.1
PRJNA362212_0298	GCA_003647385.1
PRJNA362212_0299	GCA_003647375.1
PRJNA362212_0300	GCA_003647365.1
PRJNA362212_0301	GCA_003647325.1
PRJNA362212_0302	GCA_003647305.1
PRJNA362212_0303	GCA_003647315.1
PRJNA362212_0304	GCA_003647235.1
PRJNA362212_0305	GCA_003647245.1
PRJNA362212_0306	GCA_003647275.1
PRJNA362212_0307	GCA_003647225.1
PRJNA362212_0308	GCA_003647175.1
PRJNA362212_0309	GCA_003647205.1
PRJNA362212_0310	GCA_003647135.1
PRJNA362212_0311	GCA_003647165.1
PRJNA362212_0312	GCA_003647075.1
PRJNA362212_0313	GCA_003647125.1
PRJNA362212_0314	GCA_003647065.1
PRJNA362212_0315	GCA_003647095.1
PRJNA362212_0316	GCA_003647035.1
PRJNA362212_0317	GCA_003646995.1
PRJNA362212_0318	GCA_003647025.1
PRJNA362212_0319	GCA_003646975.1
PRJNA362212_0320	GCA_003646955.1
PRJNA362212_0321	GCA_003646935.1
PRJNA362212_0322	GCA_003646925.1
PRJNA362212_0323	GCA_003646895.1
PRJNA362212_0324	GCA_003646875.1
PRJNA362212_0325	GCA_003646865.1
PRJNA362212_0326	GCA_003646815.1
PRJNA362212_0327	GCA_003646845.1
PRJNA362212_0328	GCA_003646795.1
PRJNA362212_0329	GCA_003646785.1
PRJNA362212_0330	GCA_003646755.1
PRJNA362212_0331	GCA_003646655.1
PRJNA362212_0332	GCA_003646745.1
PRJNA362212_0333	GCA_003646715.1
PRJNA362212_0334	GCA_003646705.1
PRJNA362212_0335	GCA_003646665.1
PRJNA362212_0336	GCA_003646645.1
PRJNA362212_0337	GCA_003646595.1
PRJNA362212_0338	GCA_003646625.1
PRJNA362212_0339	GCA_003646585.1
PRJNA362212_0340	GCA_003647555.1
PRJNA362212_0341	GCA_003646545.1
PRJNA362212_0342	GCA_003643935.1
PRJNA362212_0343	GCA_003643925.1
PRJNA362212_0344	GCA_003643875.1
PRJNA362212_0345	GCA_003643895.1
PRJNA362212_0346	GCA_003643855.1
PRJNA362212_0347	GCA_002049795.1
PRJNA362212_0348	GCA_002049905.1
PRJNA362212_0349	GCA_002050025.1
PRJNA362212_0350	GCA_002050005.1
PRJNA362212_0351	GCA_002084545.1
PRJNA362212_0352	GCA_002084425.1
PRJNA362212_0353	GCA_002084375.1
PRJNA362212_0354	GCA_002084385.1
PRJNA362212_0355	GCA_002084705.1
PRJNA362212_0356	GCA_002084665.1
PRJNA362212_0357	GCA_002084945.1
PRJNA362212_0358	GCA_002085455.1
PRJNA362212_0359	GCA_002085465.1
PRJNA362212_0360	GCA_002084685.1
PRJNA362212_0361	GCA_002085115.1
PRJNA362212_0362	GCA_002085095.1
PRJNA362212_0363	GCA_002255065.1
PRJNA362212_0364	GCA_002254745.1
PRJNA362212_0365	GCA_002254985.1
PRJNA362212_0366	GCA_002254465.1
PRJNA362212_0367	GCA_002254665.1
PRJNA362212_0368	GCA_003650125.1
PRJNA362212_0369	GCA_003650085.1
PRJNA362212_0370	GCA_003643825.1
PRJNA362212_0371	GCA_003643835.1
PRJNA362212_0372	GCA_003645585.1
PRJNA362212_0373	GCA_003646525.1
PRJNA362212_0374	GCA_003646505.1
PRJNA362212_0375	GCA_003646535.1
PRJNA362212_0376	GCA_002084905.1
PRJNA362212_0377	GCA_002085305.1
PRJNA362212_0378	GCA_002084455.1
PRJNA362212_0379	GCA_003661645.1
PRJNA362212_0380	GCA_002255125.1
PRJNA362212_0381	GCA_002255165.1
PRJNA362212_0382	GCA_002084445.1
PRJNA362212_0383	GCA_002084825.1
PRJNA362212_0384	GCA_003646455.1
PRJNA362212_0385	GCA_003646445.1
PRJNA362212_0386	GCA_003646365.1
PRJNA362212_0387	GCA_003645535.1
PRJNA362212_0388	GCA_003645555.1
PRJNA362212_0389	GCA_003645525.1
PRJNA362212_0390	GCA_003645495.1
PRJNA362212_0391	GCA_003645485.1
PRJNA362212_0392	GCA_003645435.1
PRJNA362212_0393	GCA_003645405.1
PRJNA362212_0394	GCA_003645455.1
PRJNA362212_0395	GCA_003645395.1
PRJNA362212_0396	GCA_003645315.1
PRJNA362212_0397	GCA_003645385.1
PRJNA362212_0398	GCA_003645335.1
PRJNA362212_0399	GCA_003645345.1
PRJNA362212_0400	GCA_003645245.1
PRJNA362212_0401	GCA_003645305.1
PRJNA362212_0402	GCA_003645265.1
PRJNA362212_0403	GCA_003645185.1
PRJNA362212_0404	GCA_003645255.1
PRJNA362212_0405	GCA_003645215.1
PRJNA362212_0406	GCA_003645175.1
