genome_name	ncbi_acc
PRJEB21624_0315	GCA_900318405.1
PRJEB21624_0316	GCA_900318415.1
PRJEB21624_0317	GCA_900318295.1
PRJEB21624_0318	GCA_900318325.1
PRJEB21624_0319	GCA_900318135.1
PRJEB21624_0320	GCA_900318125.1
PRJEB21624_0321	GCA_900318235.1
PRJEB21624_0322	GCA_900318185.1
PRJEB21624_0323	GCA_900318155.1
PRJEB21624_0324	GCA_900318025.1
PRJEB21624_0325	GCA_900317985.1
PRJEB21624_0326	GCA_900318055.1
PRJEB21624_0327	GCA_900318105.1
PRJEB21624_0328	GCA_900319345.1
PRJEB21624_0329	GCA_900319155.1
PRJEB21624_0330	GCA_900319275.1
PRJEB21624_0331	GCA_900319135.1
PRJEB21624_0332	GCA_900319335.1
PRJEB21624_0333	GCA_900319125.1
PRJEB21624_0334	GCA_900319075.1
PRJEB21624_0335	GCA_900319065.1
PRJEB21624_0336	GCA_900319015.1
PRJEB21624_0337	GCA_900319045.1
PRJEB21624_0338	GCA_900319055.1
PRJEB21624_0339	GCA_900318905.1
PRJEB21624_0340	GCA_900318985.1
PRJEB21624_0341	GCA_900319095.1
PRJEB21624_0342	GCA_900318965.1
PRJEB21624_0343	GCA_900318745.1
PRJEB21624_0344	GCA_900318735.1
PRJEB21624_0345	GCA_900318755.1
PRJEB21624_0346	GCA_900318805.1
PRJEB21624_0347	GCA_900318715.1
PRJEB21624_0348	GCA_900321855.1
PRJEB21624_0349	GCA_900321825.1
PRJEB21624_0350	GCA_900321945.1
PRJEB21624_0351	GCA_900321755.1
PRJEB21624_0352	GCA_900321665.1
PRJEB21624_0353	GCA_900321705.1
PRJEB21624_0354	GCA_900321525.1
PRJEB21624_0355	GCA_900321515.1
PRJEB21624_0356	GCA_900321505.1
PRJEB21624_0357	GCA_900321355.1
PRJEB21624_0358	GCA_900321435.1
PRJEB21624_0359	GCA_900321365.1
PRJEB21624_0360	GCA_900321395.1
PRJEB21624_0361	GCA_900321265.1
PRJEB21624_0362	GCA_900321335.1
PRJEB21624_0363	GCA_900321285.1
PRJEB21624_0364	GCA_900321275.1
PRJEB21624_0365	GCA_900321305.1
PRJEB21624_0366	GCA_900321195.1
PRJEB21624_0367	GCA_900321225.1
PRJEB21624_0368	GCA_900321115.1
PRJEB21624_0369	GCA_900321135.1
PRJEB21624_0370	GCA_900321145.1
PRJEB21624_0371	GCA_900320935.1
PRJEB21624_0372	GCA_900321085.1
PRJEB21624_0373	GCA_900320945.1
PRJEB21624_0374	GCA_900320985.1
PRJEB21624_0375	GCA_900320895.1
PRJEB21624_0376	GCA_900320995.1
PRJEB21624_0377	GCA_900321025.1
PRJEB21624_0378	GCA_900320925.1
PRJEB21624_0379	GCA_900320755.1
PRJEB21624_0380	GCA_900320765.1
PRJEB21624_0381	GCA_900320805.1
PRJEB21624_0382	GCA_900320655.1
PRJEB21624_0383	GCA_900320605.1
PRJEB21624_0384	GCA_900320615.1
PRJEB21624_0385	GCA_900320575.1
PRJEB21624_0386	GCA_900320595.1
PRJEB21624_0387	GCA_900320555.1
PRJEB21624_0388	GCA_900320645.1
PRJEB21624_0389	GCA_900320685.1
PRJEB21624_0390	GCA_900320465.1
PRJEB21624_0391	GCA_900320505.1
PRJEB21624_0392	GCA_900320535.1
PRJEB21624_0393	GCA_900320425.1
PRJEB21624_0394	GCA_900320415.1
PRJEB21624_0395	GCA_900320355.1
PRJEB21624_0396	GCA_900320285.1
PRJEB21624_0397	GCA_900320235.1
PRJEB21624_0398	GCA_900320195.1
PRJEB21624_0399	GCA_900320135.1
PRJEB21624_0400	GCA_900320105.1
PRJEB21624_0401	GCA_900320085.1
PRJEB21624_0402	GCA_900320065.1
PRJEB21624_0403	GCA_900319945.1
PRJEB21624_0404	GCA_900319935.1
PRJEB21624_0405	GCA_900321905.1
PRJEB21624_0406	GCA_900321915.1
PRJEB21624_0407	GCA_900322045.1
PRJEB21624_0408	GCA_900322115.1
PRJEB21624_0409	GCA_900322105.1
PRJEB21624_0410	GCA_900322145.1
PRJEB21624_0411	GCA_900322155.1
PRJEB21624_0412	GCA_900322165.1
PRJEB21624_0413	GCA_900322085.1
PRJEB21624_0414	GCA_900322215.1
PRJEB21624_0415	GCA_900315535.1
PRJEB21624_0416	GCA_900322075.1
PRJEB21624_0417	GCA_900321795.1
PRJEB21624_0418	GCA_900321565.1
PRJEB21624_0419	GCA_900321295.1
PRJEB21624_0420	GCA_900321185.1
PRJEB21624_0421	GCA_900320835.1
PRJEB21624_0422	GCA_900320735.1
PRJEB21624_0423	GCA_900318145.1
PRJEB21624_0424	GCA_900318045.1
PRJEB21624_0425	GCA_900317565.1
PRJEB21624_0426	GCA_900319575.1
PRJEB21624_0427	GCA_900314595.1
PRJEB21624_0428	GCA_900316875.1
PRJEB21624_0429	GCA_900321055.1
PRJEB21624_0430	GCA_900321865.1
PRJEB21624_0431	GCA_900315795.1
PRJEB21624_0432	GCA_900319325.1
PRJEB21624_0433	GCA_900319885.1
